#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped"
"AJRouter","AllJoyn Router Service","Stopped"
"AppReadiness","App Readiness","Stopped"
"AppIDSvc","Application Identity","Stopped"
"ALG","Application Layer Gateway Service","Stopped"
"AppMgmt","Application Management","Stopped"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped"
"tzautoupdate","Auto Time Zone Updater","Stopped"
"BthAvctpSvc","AVCTP service","Stopped"
"BITS","Background Intelligent Transfer Service","Stopped"
"BDESVC","BitLocker Drive Encryption Service","Stopped"
"wbengine","Block Level Backup Engine Service","Stopped"
"BTAGService","Bluetooth Audio Gateway Service","Stopped"
"bthserv","Bluetooth Support Service","Stopped"
"BluetoothUserService_19ba179","Bluetooth User Support Service_19ba179","Stopped"
"PeerDistSvc","BranchCache","Stopped"
"camsvc","Capability Access Manager Service","Stopped"
"CaptureService_19ba179","CaptureService_19ba179","Stopped"
"CertPropSvc","Certificate Propagation","Stopped"
"ClipSVC","Client License Service (ClipSVC)","Stopped"
"ConsentUxUserSvc_19ba179","ConsentUX_19ba179","Stopped"
"PimIndexMaintenanceSvc_19ba179","Contact Data_19ba179","Stopped"
"DsSvc","Data Sharing Service","Stopped"
"DusmSvc","Data Usage","Stopped"
"DoSvc","Delivery Optimization","Stopped"
"DeviceAssociationService","Device Association Service","Stopped"
"DeviceInstall","Device Install Service","Stopped"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped"
"DsmSvc","Device Setup Manager","Stopped"
"DevicePickerUserSvc_19ba179","DevicePicker_19ba179","Stopped"
"DevicesFlowUserSvc_19ba179","DevicesFlow_19ba179","Stopped"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped"
"diagsvc","Diagnostic Execution Service","Stopped"
"DPS","Diagnostic Policy Service","Stopped"
"WdiServiceHost","Diagnostic Service Host","Stopped"
"WdiSystemHost","Diagnostic System Host","Stopped"
"DisplayEnhancementService","Display Enhancement Service","Stopped"
"TrkWks","Distributed Link Tracking Client","Stopped"
"MapsBroker","Downloaded Maps Manager","Stopped"
"embeddedmode","Embedded Mode","Stopped"
"EFS","Encrypting File System (EFS)","Stopped"
"EntAppSvc","Enterprise App Management Service","Stopped"
"Eaphost","Extensible Authentication Protocol","Stopped"
"Fax","Fax","Stopped"
"fhsvc","File History Service","Stopped"
"fdPHost","Function Discovery Provider Host","Stopped"
"FDResPub","Function Discovery Resource Publication","Stopped"
"BcastDVRUserService_19ba179","GameDVR and Broadcast User Service_19ba179","Stopped"
"lfsvc","Geolocation Service","Stopped"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped"
